accX,accY,accZ,id,timestamp
-1149,-759,3765,1,1748698241029
-1089,-742,3781,2,1748698241069
-1097,-772,3815,3,1748698241111
-1107,-805,3785,4,1748698241150
-1081,-802,3774,5,1748698241189
-1106,-739,3782,6,1748698241229
-1172,-811,3788,7,1748698241272
-1253,-834,3788,8,1748698241309
-1204,-869,3778,9,1748698241350
-1197,-804,3755,10,1748698241390
-1203,-789,3768,11,1748698241432
-1168,-810,3775,12,1748698241470
-1203,-800,3768,13,1748698241510
-1185,-795,3777,14,1748698241550
-1290,-814,3770,15,1748698241593
-1214,-787,3789,16,1748698241631
-1187,-762,3811,17,1748698241670
-1200,-769,3798,18,1748698241710
-1195,-781,3771,19,1748698241753
-1170,-743,3789,20,1748698241791
-1200,-737,3783,21,1748698241831
-1205,-735,3805,22,1748698241871
-1194,-743,3801,23,1748698241913
-1198,-726,3822,24,1748698241951
-1167,-698,3794,25,1748698241991
-1175,-816,3755,26,1748698242031
-1084,-714,3806,27,1748698242073
-1138,-676,3800,28,1748698242112
-1263,-733,3765,29,1748698242152
-1177,-674,3809,30,1748698242192
-1237,-666,3825,31,1748698242234
-1134,-592,3875,32,1748698242272
-1322,-713,3984,33,1748698242312
-1056,-822,3704,34,1748698242353
-1015,-812,3797,35,1748698242394
-1088,-843,3724,36,1748698242432
-1106,-715,3869,37,1748698242473
-1145,-763,3820,38,1748698242513
-1111,-787,3834,39,1748698242556
-1096,-765,3839,40,1748698242593
-1048,-748,3809,41,1748698242633
-1008,-803,3789,42,1748698242673
-1019,-802,3798,43,1748698242715
-1082,-871,3829,44,1748698242754
-1137,-689,3871,45,1748698242793
-1132,-647,3917,46,1748698242833
-1251,-484,4426,47,1748698242876
-1457,-204,4520,48,1748698242914
-1140,-1071,3610,49,1748698242954
-1227,-1558,3261,50,1748698242994
-630,-1646,3319,51,1748698243035
-588,-1347,3521,52,1748698243074
-597,-1657,3261,53,1748698243114
-423,-1633,3280,54,1748698243154
-541,-2022,3171,55,1748698243197
-478,-2107,3247,56,1748698243234
-511,-1854,3360,57,1748698243274
-665,-2036,3255,58,1748698243314
-876,-1800,3470,59,1748698243356
-1210,-1551,4529,60,1748698243394
-1547,-1715,4303,61,1748698243435
-1476,-892,4590,62,1748698243475
-2182,-2108,4892,63,1748698243517
-1668,-1661,4315,64,1748698243555
-1054,-745,3998,65,1748698243595
-875,-1916,3432,66,1748698243635
-15,-2221,2922,67,1748698243677
-488,-2591,3343,68,1748698243715
362,-1652,2893,69,1748698243755
831,-1404,2511,70,1748698243795
988,-2060,2387,71,1748698243838
1176,-2718,1778,72,1748698243875
1389,-2907,1823,73,1748698243916
880,-2922,2166,74,1748698243956
831,-3180,1865,75,1748698243997
675,-3379,2136,76,1748698244036
683,-3604,1951,77,1748698244076
775,-3667,1605,78,1748698244116
482,-3917,1744,79,1748698244159
563,-3974,1594,80,1748698244196
694,-3801,1394,81,1748698244236
683,-3883,1200,82,1748698244276
787,-3936,953,83,1748698244318
678,-3884,1037,84,1748698244357
735,-3928,945,85,1748698244396
744,-3818,827,86,1748698244436
718,-3692,1049,87,1748698244479
756,-3700,980,88,1748698244517
739,-3830,838,89,1748698244557
716,-3809,915,90,1748698244597
653,-3897,758,91,1748698244639
709,-4187,660,92,1748698244677
686,-3883,709,93,1748698244717
675,-3925,682,94,1748698244758
621,-4385,570,95,1748698244797
819,-4221,307,96,1748698244837
741,-4012,227,97,1748698244878
705,-3954,512,98,1748698244918
893,-3956,88,99,1748698244958
995,-3923,-539,100,1748698244998
1045,-3797,-670,101,1748698245038
903,-3629,-817,102,1748698245078
948,-3736,-1361,103,1748698245118
1052,-3713,-1182,104,1748698245158
1041,-3682,-951,105,1748698245198
976,-3615,-1064,106,1748698245238
986,-3768,-1185,107,1748698245278
924,-4004,-1161,108,1748698245318
965,-3830,-1159,109,1748698245359
992,-3632,-1139,110,1748698245399
958,-3791,-1040,111,1748698245439
962,-3845,-1138,112,1748698245479
920,-3673,-1098,113,1748698245519
871,-3912,-953,114,1748698245560
984,-3896,-1179,115,1748698245599
1089,-3578,-1283,116,1748698245639
1139,-3747,-1345,117,1748698245679
1033,-3973,-1390,118,1748698245720
1044,-3807,-1287,119,1748698245760
916,-3692,-1272,120,1748698245800
